pais;provincia;departamento;año;modelo;actividad;margen_bruto_($/ha);resultado_neto_($/ha);ingreso_neto_($/ha);gastos_directos_($/ha);costos_indirectos_($/ha);eficiencia_stock_(%);producción_(kg/ha);destete_(%);carga_(kg/ha);;;
Argentina;San Luis;Coronel Pringles;2018;la pampa-san luis semiarida;cria;661;388;1019;358;273;31;34;70;109;;;28
Argentina;San Luis;La Capital;2018;la pampa-san luis semiarida;cria;661;388;1019;358;273;31;34;70;109;;;56
Argentina;Buenos Aires;Adolfo Alsina;2018;pampeana subhumeda;ciclo completo;1210;709;1936;726;500;35;65;75;186;;;42
Argentina;Buenos Aires;Carlos Tejedor;2018;pampeana subhumeda;ciclo completo;1210;709;1936;726;500;35;65;75;186;;;84
Argentina;Buenos Aires;General Villegas;2018;pampeana subhumeda;ciclo completo;1210;709;1936;726;500;35;65;75;186;;;126
Argentina;Buenos Aires;Guamini;2018;pampeana subhumeda;ciclo completo;1210;709;1936;726;500;35;65;75;186;;;140
Argentina;Buenos Aires;Pellegrini;2018;pampeana subhumeda;invernada;2293;-230;5956;3663;2522;53;260;-99999;492;;;154
Argentina;Buenos Aires;Rivadavia;2018;pampeana subhumeda;invernada;2293;-230;5956;3663;2522;53;260;-99999;492;;;
Argentina;Buenos Aires;Salliquelo;2018;pampeana subhumeda;invernada;2293;-230;5956;3663;2522;53;260;-99999;492;;;
Argentina;Buenos Aires;Trenque Lauquen;2018;pampeana subhumeda;ciclo completo;1210;709;1936;726;500;35;65;75;186;;;
Argentina;Buenos Aires;Tres Lomas;2018;pampeana subhumeda;invernada;2293;-230;5956;3663;2522;53;260;-99999;492;;;
Argentina;Cordoba;General Roca;2018;pampeana subhumeda;invernada;2293;-230;5956;3663;2522;53;260;-99999;492;;;119
Argentina;Cordoba;Rio Cuarto;2018;pampeana subhumeda;ciclo completo;1210;709;1936;726;500;35;65;75;186;;;
Argentina;La Pampa;Atreuco;2018;pampeana subhumeda;ciclo completo;1210;709;1936;726;500;35;65;75;186;;;70
Argentina;La Pampa;Capital;2018;pampeana subhumeda;ciclo completo;1210;709;1936;726;500;35;65;75;186;;;77
Argentina;La Pampa;Catrilo;2018;pampeana subhumeda;invernada;2293;-230;5956;3663;2522;53;260;-99999;492;;;91
Argentina;La Pampa;Chapaleufu;2018;pampeana subhumeda;invernada;2293;-230;5956;3663;2522;53;260;-99999;492;;;98
Argentina;La Pampa;Conhelo;2018;pampeana subhumeda;invernada;2293;-230;5956;3663;2522;53;260;-99999;492;;;105
